palabra,estado,información
άζοντα,pendiente,
έδωκας,pendiente,
έκρυψεν,pendiente,
ήσ,pendiente,
αββα,pendiente,
αυγ,pendiente,
αἰγείοις,pendiente,
αἰγιαλόν,pendiente,
αἰγιαλὸν,pendiente,
αἰγυπτίων,pendiente,
αἰγύπτιοι,pendiente,
αἰγύπτιον,pendiente,
αἰγύπτιος,pendiente,
αἰγύπτου,pendiente,
αἰγύπτῳ,pendiente,
αἰδοῦς,pendiente,
αἰθίοψ,pendiente,
αἰθιόπων,pendiente,
αἰνέα,pendiente,
αἰνέαν,pendiente,
αἰνέσεως,pendiente,
αἰνίγματι,pendiente,
αἰνεῖν,pendiente,
αἰνεῖτε,pendiente,
αἰνούντων,pendiente,
αἰνοῦντα,pendiente,
αἰνοῦντες,pendiente,
αἰνὼν,pendiente,
αἰνῶν,pendiente,
αἰρόμενον,pendiente,
αἰσθήσει,pendiente,
αἰσθητήρια,pendiente,
αἰσχροκερδεῖς,pendiente,
αἰσχροκερδῆ,pendiente,
αἰσχροκερδῶς,pendiente,
αἰσχρολογίαν,pendiente,
αἰσχροῦ,pendiente,
αἰσχρόν,pendiente,
αἰσχρότης,pendiente,
αἰσχρὸν,pendiente,
αἰσχυνέσθω,pendiente,
αἰσχυνθήσομαι,pendiente,
αἰσχυνθῶμεν,pendiente,
αἰσχύνας,pendiente,
αἰσχύνη,pendiente,
αἰσχύνης,pendiente,
αἰσχύνομαι,pendiente,
αἰσχύνῃ,pendiente,
αἰτήματα,pendiente,
αἰτήσας,pendiente,
αἰτήσασθε,pendiente,
αἰτήσει,pendiente,
αἰτήσεσθε,pendiente,
αἰτήσητέ,pendiente,
αἰτήσηται,pendiente,
αἰτήσητε,pendiente,
αἰτήσουσιν,pendiente,
αἰτήσωμέν,pendiente,
αἰτήσωμαι,pendiente,
αἰτήσωνται,pendiente,
αἰτήσῃ,pendiente,
αἰτήσῃς,pendiente,
αἰτία,pendiente,
αἰτίαν,pendiente,
αἰτίας,pendiente,
αἰτίου,pendiente,
αἰτείτω,pendiente,
αἰτεῖν,pendiente,
αἰτεῖς,pendiente,
αἰτεῖσθαι,pendiente,
αἰτεῖσθε,pendiente,
αἰτεῖτε,pendiente,
αἰτιώματα,pendiente,
αἰτούμεθα,pendiente,
αἰτούμενοι,pendiente,
